,voltage,angle
0,0.822,-163.10496276923078
1,0.824,-162.9664165774648
2,0.825,-162.81848609615386
3,0.826,-162.27450242857142
4,0.827,-161.123767875
5,0.829,-160.21269072727273
6,0.83,-159.8701943898305
7,0.831,-159.154069
8,0.832,-158.424772125
9,0.833,-157.727357
10,0.835,-157.44839122222223
11,0.836,-157.00204583333334
12,0.837,-156.61149333333333
13,0.838,-155.886182
14,0.84,-155.607216
15,0.841,-155.16087033333335
16,0.842,-154.25702059999998
17,0.843,-153.57076425
18,0.844,-152.943091
19,0.846,-152.59438366666666
20,0.847,-151.81327875
21,0.848,-151.45460814285713
22,0.849,-150.69741483333334
23,0.851,-150.172959
24,0.852,-150.09763825
25,0.853,-149.16868159999999
26,0.854,-148.68886
27,0.855,-148.13092799999998
28,0.857,-147.62878933333334
29,0.858,-146.791891
30,0.859,-146.58266675
31,0.86,-145.703924
32,0.862,-144.97714410526314
33,0.863,-144.56016366666665
34,0.864,-144.392784
35,0.865,-143.69536925
36,0.866,-143.10954066666667
37,0.868,-142.6910915
38,0.869,-142.10526333333334
39,0.87,-141.65891766666667
40,0.871,-141.10098566666667
41,0.873,-140.59884699999998
42,0.874,-140.04091466666668
43,0.875,-139.25981050000001
44,0.876,-139.42719
45,0.877,-138.29737775
46,0.88,-137.37679
47,0.881,-136.7491165
48,0.882,-136.023805
49,0.884,-136.079598
50,0.885,-135.07532066666667
51,0.886,-134.573182
52,0.887,-133.95945700000001
53,0.888,-133.401525
54,0.89,-132.564627
55,0.891,-132.564627
56,0.892,-131.8951086666667
57,0.893,-131.3092805
58,0.894,-130.388693
59,0.896,-130.47238225
60,0.897,-129.63548450000002
61,0.898,-128.96596599999998
62,0.899,-128.77069033333333
63,0.901,-127.794309
64,0.902,-127.45955000000001
65,0.903,-126.95741100000001
66,0.904,-126.371583
67,0.905,-126.0368235
68,0.907,-125.199926
69,0.908,-125.032546
70,0.909,-124.028269
71,0.91,-123.97247566666665
72,0.912,-123.35875
73,0.913,-122.73107675
74,0.914,-121.852334
75,0.915,-121.433885
76,0.916,-121.182816
77,0.918,-120.34591766666667
78,0.919,-120.09484850000001
79,0.92,-119.59270950000001
80,0.921,-118.72791533333333
81,0.923,-118.337363
82,0.924,-117.75153449999999
83,0.925,-117.165706
84,0.926,-116.663567
85,0.927,-115.826669
86,0.929,-115.49191
87,0.93,-115.1571505
88,0.931,-114.487633
89,0.932,-113.901804
90,0.934,-113.37176833333332
91,0.935,-112.5627675
92,0.936,-112.311698
93,0.937,-111.58638666666667
94,0.938,-110.805282
95,0.94,-110.5542125
96,0.941,-109.745211
97,0.942,-109.07569266666667
98,0.943,-108.378278
99,0.946,-107.4576902
100,0.947,-107.122931
101,0.948,-106.286033
102,0.949,-106.06286033333333
103,0.951,-105.17016933333332
104,0.952,-104.5285475
105,0.953,-104.11009849999999
106,0.954,-103.49637333333334
107,0.956,-102.5199925
108,0.957,-102.603682
109,0.958,-101.264646
110,0.959,-101.59940466666667
111,0.96,-100.762507
112,0.962,-100.1766785
113,0.964,-99.50716
114,0.965,-98.753952
115,0.967,-98.5028825
116,0.968,-97.582295
117,0.969,-97.28938074999999
118,0.97,-96.745397
119,0.971,-96.075879
120,0.973,-95.57374
121,0.974,-94.904222
122,0.975,-94.402083
123,0.976,-93.983634
124,0.978,-93.565185
125,0.979,-92.686442
126,0.98,-92.560908
127,0.981,-91.975079
128,0.982,-91.05449133333333
129,0.984,-91.054491
130,0.985,-89.882834
131,0.986,-89.771248
132,0.987,-89.380696
133,0.989,-88.25088325
134,0.99,-88.376418
135,0.991,-87.53952
136,0.992,-87.03738150000001
137,0.993,-86.53524266666666
138,0.995,-85.94941399999999
139,0.996,-85.196206
140,0.997,-85.08461966666665
141,0.998,-85.028826
142,0.999,-84.02454933333333
143,1.001,-83.355031
144,1.002,-82.852892
145,1.004,-81.80676925
146,1.006,-80.5932675
147,1.007,-80.928027
148,1.008,-79.923749
149,1.009,-79.67268
150,1.01,-79.05895466666668
151,1.013,-78.38943633333334
152,1.014,-77.4130555
153,1.015,-77.161986
154,1.017,-76.07401899999999
155,1.018,-76.15770866666666
156,1.02,-74.6931375
157,1.021,-74.204947
158,1.023,-73.814395
159,1.024,-73.228566
160,1.025,-72.64273750000001
161,1.026,-72.307978
162,1.028,-71.80583966666667
163,1.029,-71.471081
164,1.03,-70.38311300000001
165,1.031,-70.13204350000001
166,1.032,-69.29514599999999
167,1.034,-69.295146
